"dev_os","OS Version","temp","title","timestamp","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","cam_vert","cam_hoz","pos_sat","id","Name","What is your name?","Have you seen a butterfly?","If you can, take a photo of the butterfly you have seen.","How many of this butterfly did you see?","Can you see any of these plants within 5 metres (a large room) around you? Tick all that you see.","What did the grasses look like?","Would you like to record more information that would be useful for scientists?","Any other comments?","What was the main colour of the butterfly?","Was it one of these?","What was the butterfly doing?","How would you describe the habitat/area around the butterfly/you? (football pitch area around you)","What kind of urban?","Are you next to a hedgerow?","What type of woodland?","What type of grassland?","What type of farmland?","Was it this butterfly?","geom"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-07T13:46:10.030Z","","22.36688536183787","","2200","MOTOROLA XT1068","","-12.930836443266331","a0ea0520-3574-4371-b9a3-6af8c208632a.json","168.63351838092294","","","","_w2lx78bdm","Penparcau Survey 2016 - V1-3-07-06-2016 14h45m47s","Chloe","No","<i>blank</i>","","Grasses","Mown or grazed, short, very green grass","Yes","",,,,"Urban","Built-up areas with little to no green spaces","No",,,,,"-4.068609199999994,52.404497099999816"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-19T12:38:29.987Z","","0.7313957595103002","","16","MOTOROLA XT1068","","-19.991393379831624","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-32.43801295340001","","","","_osj5u9vn0","Penparcau Survey 2016 - V1-3-19-07-2016 13h38m24s","CG","No","<i>blank</i>","","Nettle,Thistle,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.084698900000033,52.40058060000024"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-20T14:51:33.964Z","","-0.2305652550690924","","-1","MOTOROLA XT1068","","-5.287921783253294","a0ea0520-3574-4371-b9a3-6af8c208632a.json","177.91437942513627","","","","_k7h3lmtm4","Penparcau Survey 2016 - V1-3-20-07-2016 15h51m09s","CG","Yes","<i>blank</i>","1","Nettle,Ivy,Thistle,Dock or sorrel,Grasses",,"Yes","","Brown","Ringlet","Resting,Flying","Grassland",,"No",,"Overgrown, lots of wild flowers, meadow",,,"-4.072847618453854,52.40624932475204"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-21T14:30:10.600Z","","4.249837189796199","","1050.7779541015625","MOTOROLA XT1068","","-19.04061055679834","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-60.335138561657125","","","","_av1qc1o7m","Penparcau Survey 2016 - V1-3-21-06-2016 15h30m07s","Chloe new path","No","<i>blank</i>","","Ivy,Dock or sorrel,Grasses",,"No","",,,,,,,,,,,"-4.0792457,52.4030133"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-14T11:32:08.210Z","","7.222486207634311","","7","MOTOROLA XT1068","","-28.040057561923387","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-4.379897225084758","","","","_m4evsfh0q","Penparcau Survey 2016 - V1-3-14-07-2016 12h32m02s","Chloe test","No","<i>blank</i>","","Nettle,Ivy,Grasses",,"No","",,,,,,,,,,,"-4.085689300000021,52.403090899999896"
"","6.0","","Penparcau Survey 2016 - V1-3","2016-07-14T11:21:43.232Z","","2.5448042606812216","","13","MOTOROLA XT1068","","-23.515110170756007","a0ea0520-3574-4371-b9a3-6af8c208632a.json","24.174534199269473","","","","_c7i112dwl","Penparcau Survey 2016 - V1-3-14-07-2016 12h21m35s","Chloe test","No","<i>blank</i>","","Nettle,Thistle,Grasses",,"No","",,,,,,,,,,,"-4.084621000000001,52.40273979999989"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-27T10:11:57.617Z","","1.728723973859695","","-1","MOTOROLA XT1068","","-15.938505975413214","a0ea0520-3574-4371-b9a3-6af8c208632a.json","-58.42474148099373","","","","_4dyt4czgv","Penparcau Survey 2016 - V1-3-27-06-2016 11h11m29s","Jan and John",,"<i>blank</i>","","Ivy,Grasses",,"No","",,,,,,,,,,,"-4.06948582678428,52.40074097855031"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-07T14:39:19.534Z","","3.7418636415044793","","7","MOTOROLA XT1068","","-18.615231497931823","a0ea0520-3574-4371-b9a3-6af8c208632a.json","10.707125778769756","","","","_7zoxcyaw3","Penparcau Survey 2016 - V1-3-07-06-2016 15h39m12s","Chloe","Yes","<br/><a href="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-07-06-2016 15h39m12s/modified_1465310318736.jpg"><img src="https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Penparcau Survey 2016 - V1-3-07-06-2016 15h39m12s/modified_1465310318736_thumb.jpg" style="width:100px;border:0;"></a>","1","Grasses","Long grass, maybe grazed, some flowers","Yes","","White","Small White","Feeding,Flying","Gorse",,"Yes",,,,,"-4.084452399999981,52.40249150000012"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-30T14:03:34.947Z","","-3.9451859933778883","","-1","MOTOROLA XT1068","","-32.7730644680404","a0ea0520-3574-4371-b9a3-6af8c208632a.json","118.61512784357078","","","","_ktlat7999","Penparcau Survey 2016 - V1-3-30-06-2016 15h03m25s","CG test","No","<i>blank</i>","","Ivy,Grasses",,"No","",,,,,,,,,,,"-4.068207176797871,52.40259964961714"
"","5.0.2","","Penparcau Survey 2016 - V1-3","2016-06-07T16:18:32.192Z","","15.656540398549456","","10","MOTOROLA XT1068","","-20.589152752970925","a0ea0520-3574-4371-b9a3-6af8c208632a.json","179.61683139651862","","","","_98fsq9c14","Penparcau Survey 2016 - V1-3-07-06-2016 17h18m26s","Chloe","Yes","<i>blank</i>","1","Nettle,Grasses",,"Yes","","Orange","Painted Lady","Resting,Flying","Gorse",,"Yes",,,,,"-4.08215999999999,52.39951580000009"
