"dev_os","temp","title","cam_vert","timestamp","id","comp_bar","pos_sat","pos_tech","pos_acc","Make and Model","cam_hoz","Azimuth","editor","Pitch","press","OS Version","Roll","Name","Tree type","Tree Species","Take photo","Grid reference","Other Known","geom"
"","","OBT Tree Survey","","2015-06-13T14:38:56.204Z","_jo179lgvs","","","","-1","MOTOROLA XT1068","","-144.58815159659486","35cf4469-162e-4f6d-8eae-ed886121088d.json","-57.959673900407566","","5.0.2","19.889546721570273","scoot (1)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/scoot (1)/1434206326996.jpg'>","",,"-2.421975999999979,53.82556400000008"
"","","OBT Tree Survey","","2015-06-17T19:32:39.415Z","_w5oeimcyd","","","","-1","MOTOROLA XT1068","","-83.5655203440301","35cf4469-162e-4f6d-8eae-ed886121088d.json","-31.573020721436674","","5.0.2","-2.638491831092171","Andy (61)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (61)/1434569544038.jpg'>","",,"-4.025462000000022,52.547542500000255"
"","","OBT Tree Survey","","2015-06-17T19:28:41.426Z","_7gn92t13o","","","","-1","MOTOROLA XT1068","","61.93304765760327","35cf4469-162e-4f6d-8eae-ed886121088d.json","-24.05904253059373","","5.0.2","7.8434212664011085","Andy (66)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (66)/1434569314285.jpg'>","",,"-4.0254937999999925,52.54752439999991"
"","","OBT Tree Survey","","2015-06-17T18:59:54.283Z","_n5vn7f8gm","","","","-1","MOTOROLA XT1068","","90.28514241175868","35cf4469-162e-4f6d-8eae-ed886121088d.json","-84.61005434361098","","5.0.2","92.48955181543445","Andy (20)","Deciduous",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (20)/1434567584325.jpg'>","",,"-4.015459100000034,52.50604730000003"
"","","OBT Tree Survey","","2015-06-03T13:04:59.141Z","_5jcwkbo8t","","","","-1","MOTOROLA XT1068","","-129.3316263494291","35cf4469-162e-4f6d-8eae-ed886121088d.json","-45.74898613624434","","5.0.2","6.009006198272696","hahn (8)","Deciduous","Larch","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (8)/1433336678518.jpg'>","Xxxx",,"-3.8533396000000075,52.62104009999988"
"","","OBT Tree Survey","","2015-06-17T19:14:27.625Z","_9wm7j3597","","","","-1","MOTOROLA XT1068","","-123.20576628662805","35cf4469-162e-4f6d-8eae-ed886121088d.json","-83.47342890345082","","5.0.2","-23.860174742719636","Andy (5)","Deciduous",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (5)/1434568461117.jpg'>","",,"-4.015459100000029,52.506047300000105"
"","","OBT Tree Survey","","2015-05-30T14:24:25.322Z","_g67b91rao","","","","-1","MOTOROLA XT1068","","-48.606860228382736","35cf4469-162e-4f6d-8eae-ed886121088d.json","-72.94159822218215","","5.0.2","3.2704879543329812","Hahn (2)","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hahn (2)/1432995857804.jpg'>","Xxxx",,"-3.8524987999999936,52.620862699999904"
"","","OBT Tree Survey","","2015-06-03T12:33:18.339Z","_u7qw4kmbj","","","","-1","MOTOROLA XT1068","","20.73443941435356","35cf4469-162e-4f6d-8eae-ed886121088d.json","-53.81770033864468","","5.0.2","10.38885774646738","hahn (30)","Coniferous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/hahn (30)/1433334792616.jpg'>","",,"-3.8526439999999726,52.620829599999794"
"","","OBT Tree Survey","","2015-05-26T10:27:14.215Z","_bq8qkiz09","","","","-1","SAMSUNG SM-T230","",,"35cf4469-162e-4f6d-8eae-ed886121088d.json",,"","4.4.2",,"Haha beebles","Deciduous","Oak","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Haha beebles/1432635939339.jpg'>","653044",,"-2.421976,53.825563999999986"
"","","OBT Tree Survey","","2015-06-13T14:18:06.942Z","_oh8q37r0z","","","","-1","MOTOROLA XT1068","","-20.05840265823133","35cf4469-162e-4f6d-8eae-ed886121088d.json","-47.35920323307485","","5.0.2","-2.151719403427583","scott (12)",,,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/scott (12)/1434205067855.jpg'>","",,"-3.9948359999999603,52.62137910000001"
