dev_os;temp;title;cam_vert;timestamp;id;comp_bar;pos_sat;pos_tech;pos_acc;Make and Model;cam_hoz;Azimuth;editor;Pitch;press;OS Version;Roll;Name;Tree type;Tree Species;Take photo;Grid reference;Other Known;geom
;;OBT Tree Survey;;2015-06-17T19:26:04.479Z;_a7jwxt37c;;;;-1;MOTOROLA XT1068;;14.628.374.605.805.000;35cf4469-162e-4f6d-8eae-ed886121088d.json;-7.794.057.269.457.940;;5.0.2;-17.834.770.028.646.000;Andy (39);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (39)/1434569158999.jpg'>;;;-4.025332999999982,52.54750659999979
;;OBT Tree Survey;;2015-06-17T19:27:15.795Z;_aafwbgekx;;;;-1;MOTOROLA XT1068;;-17.609.373.786.035.600;35cf4469-162e-4f6d-8eae-ed886121088d.json;-3.041.176.903.422.400;;5.0.2;-5.030.185.448.696.500;Andy (38);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (38)/1434569230495.jpg'>;;;-4.025333499999985,52.54750520000022
;;OBT Tree Survey;;2015-06-17T19:27:50.538Z;_zv1dmj3g3;;;;-1;MOTOROLA XT1068;;6.512.204.932.070.380;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.460.678.268.299.850;;5.0.2;-1.703.401.094.469.420;Andy (37);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (37)/1434569264953.jpg'>;;;-4.025566000000037,52.54754950000019
;;OBT Tree Survey;;2015-06-17T19:28:41.426Z;_7gn92t13o;;;;-1;MOTOROLA XT1068;;6.193.304.765.760.320;35cf4469-162e-4f6d-8eae-ed886121088d.json;-2.405.904.253.059.370;;5.0.2;78.434.212.664.011.000;Andy (66);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (66)/1434569314285.jpg'>;;;-4.0254937999999925,52.54752439999991
;;OBT Tree Survey;;2015-06-17T19:29:15.166Z;_tnnoztjoy;;;;-1;MOTOROLA XT1068;;-15.063.409.844.610.600;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.803.039.451.389.990;;5.0.2;1.699.920.156.860.810;Andy (65);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (65)/1434569350027.jpg'>;;;-4.02551319999999,52.547538799999764
;;OBT Tree Survey;;2015-06-17T19:29:51.947Z;_muul5x0c9;;;;-1;MOTOROLA XT1068;;82.183.028.584.317;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.367.194.152.148.800;;5.0.2;-14.832.453.828.015.800;Andy (64);Deciduous;Hazel;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (64)/1434569386130.jpg'>;;;-4.025565500000001,52.54754950000014
;;OBT Tree Survey;;2015-06-17T19:30:23.782Z;_vdemzlkbp;;;;-1;MOTOROLA XT1068;;-6.285.646.191.263.230;35cf4469-162e-4f6d-8eae-ed886121088d.json;-8.244.264.407.466.910;;5.0.2;-4.500.000.125.223.900;Andy (63);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (63)/1434569419338.jpg'>;;;-4.025420499999998,52.547529599999855
;;OBT Tree Survey;;2015-06-17T19:31:29.740Z;_0wbxxq2q8;;;;-1;MOTOROLA XT1068;;14.835.662.650.887.900;35cf4469-162e-4f6d-8eae-ed886121088d.json;-25.913.580.616.677.400;;5.0.2;15.974.762.327.074.900;Andy (62);Deciduous;;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (62)/1434569483532.jpg'>;;;-4.025220300000041,52.54751469999985
;;OBT Tree Survey;;2015-06-17T19:32:39.415Z;_w5oeimcyd;;;;-1;MOTOROLA XT1068;;-835.655.203.440.301;35cf4469-162e-4f6d-8eae-ed886121088d.json;-31.573.020.721.436.600;;5.0.2;-2.638.491.831.092.170;Andy (61);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (61)/1434569544038.jpg'>;;;-4.025462000000022,52.547542500000255
;;OBT Tree Survey;;2015-06-19T11:45:13.915Z;_bp7qiljww;;;;-1;MOTOROLA XT1068;;-13.763.318.682.327.700;35cf4469-162e-4f6d-8eae-ed886121088d.json;-20.158.490.542.781.400;;5.0.2;6.613.460.437.459.070;obt (47);Deciduous;Oak;<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (47)/1434714267584.jpg'>;Xxxx;Type species name in here;-4.0229477,52.5478245
